m,born,name
{name:Dina Meyer,born:1968},1968,Dina Meyer
{name:Ice-T,born:1958},1958,Ice-T
{name:Robert Longo,born:1953},1953,Robert Longo
{name:Halle Berry,born:1966},1966,Halle Berry
{name:Jim Broadbent,born:1949},1949,Jim Broadbent
{name:Tom Tykwer,born:1965},1965,Tom Tykwer
{name:David Mitchell,born:1969},1969,David Mitchell
{name:Stefan Arndt,born:1961},1961,Stefan Arndt
{name:Ian McKellen,born:1939},1939,Ian McKellen
{name:Audrey Tautou,born:1976},1976,Audrey Tautou
{name:Paul Bettany,born:1971},1971,Paul Bettany
{name:Ron Howard,born:1954},1954,Ron Howard
{name:Natalie Portman,born:1981},1981,Natalie Portman
{name:Stephen Rea,born:1946},1946,Stephen Rea
{name:John Hurt,born:1940},1940,John Hurt
{name:Ben Miles,born:1967},1967,Ben Miles
{name:Emile Hirsch,born:1985},1985,Emile Hirsch
{name:John Goodman,born:1960},1960,John Goodman
{name:Susan Sarandon,born:1946},1946,Susan Sarandon
{name:Matthew Fox,born:1966},1966,Matthew Fox
{name:Christina Ricci,born:1980},1980,Christina Ricci
{name:Rain,born:1982},1982,Rain
{name:Naomie Harris},null,Naomie Harris
{name:Michael Clarke Duncan,born:1957},1957,Michael Clarke Duncan
{name:David Morse,born:1953},1953,David Morse
{name:Sam Rockwell,born:1968},1968,Sam Rockwell
{name:Gary Sinise,born:1955},1955,Gary Sinise
{name:Patricia Clarkson,born:1959},1959,Patricia Clarkson
{name:Frank Darabont,born:1959},1959,Frank Darabont
{name:Frank Langella,born:1938},1938,Frank Langella
{name:Michael Sheen,born:1969},1969,Michael Sheen
{name:Oliver Platt,born:1960},1960,Oliver Platt
{name:Danny DeVito,born:1944},1944,Danny DeVito
{name:John C. Reilly,born:1965},1965,John C. Reilly
{name:Ed Harris,born:1950},1950,Ed Harris
{name:Bill Paxton,born:1955},1955,Bill Paxton
{name:Philip Seymour Hoffman,born:1967},1967,Philip Seymour Hoffman
{name:Jan de Bont,born:1943},1943,Jan de Bont
{name:Robert Zemeckis,born:1951},1951,Robert Zemeckis
{name:Milos Forman,born:1932},1932,Milos Forman
{name:Diane Keaton,born:1946},1946,Diane Keaton
{name:Nancy Meyers,born:1949},1949,Nancy Meyers
{name:Chris Columbus,born:1958},1958,Chris Columbus
{name:Julia Roberts,born:1967},1967,Julia Roberts
{name:Madonna,born:1954},1954,Madonna
{name:Geena Davis,born:1956},1956,Geena Davis
{name:Lori Petty,born:1963},1963,Lori Petty
{name:Penny Marshall,born:1943},1943,Penny Marshall
{name:Paul Blythe},null,Paul Blythe
{name:Angela Scope},null,Angela Scope
{name:Jessica Thompson},null,Jessica Thompson
{name:James Thompson},null,James Thompson
